0019 083	98	22
0019 084	97	16
0019 091	95	20
0019 092	116	17
0019 093	66	12
0019 095	61	9
0019 096	59	7
0019 097	62	10
0019 098	57	6
0019 102	63	11
0019 114	31	25
0019 301	67	13
0019 302	68	14
0019 305	50	3
0019 A02	33	26
0021 012	75	2
0021 013	94	19
0021 031	104	23
0021 033	112	26
0021 047	1	1
0021 048	23	17
0021 051	82	17
0021 053	111	25
0021 055	3	3
0021 057	4	1
0021 062	2	2
0021 063	48	2
0021 071	87	2
0021 073	64	12
0021 074	85	18
0021 077	19	1
0021 081	119	30
0021 083	14	4
0021 085	5	2
0021 091	673	58
0021 093	674	59
0021 095	35	19
0021 097	703	65
0021 101	505	35
0021 103	735	80
0021 105	714	70
0021 111	270	16
0021 115	402	19
0021 121	498	32
0021 122	486	30
0021 123	431	25
0021 124	19	11
0021 131	452	40
0021 134	501	34
0021 141	349	59
0021 142	422	22
0021 143	499	33
0021 145	734	79
0021 146	392	18
0021 301	80	15
0021 302	22	16
0021 303	11	9
0021 305	86	51
0021 307	88	52
0021 309	92	56
0021 311	83	49
0021 313	91	55
0021 318	10	8
0021 321	110	66
0021 323	40	32
0021 325	105	62
0021 327	106	63
0021 329	81	16
0021 381	55	4
0021 385	8	6
0021 387	84	50
0021 389	12	10
0021 391	45	35
0021 393	30	24
0021 395	7	5
0021 399	212	12
0021 401	96	21
0021 A10	106	21
0021 A14	55	5
0021 A16	56	7
0021 A20	94	14
0021 A24	14	13
0021 A28	90	13
0021 A34	9	8
0021 A36	15	14
0021 A38	111	7
0021 A40	578	40
0021 A46	259	49
0021 A48	656	49
0021 A54	736	81
0021 A56	506	36
0023 030	657	75
0023 040	302	5
0023 041	158	3
0023 060	428	23
0023 061	531	48
0023 062	467	41
0023 063	642	70
0023 070	86	68
0023 071	21	19
0023 072	521	45
0023 073	522	46
0023 074	81	51
0023 075	80	16
0023 076	426	37
0023 080	100	4
0023 081	117	9
0023 082	52	4
0023 083	75	60
0023 085	46	38
0023 086	12	11
0023 087	105	7
0023 088	529	84
0023 089	202	133
0023 090	113	6
0023 307	55	2
0023 308	290	51
0023 309	319	215
0023 310	54	34
