Room,Building,,Contract Status Date,,,Class Year,,College,,,
053,SPELMAN,,,"Apr 1, 2013 11:23:15 AM",,2014,UPPER,,,,
053,SPELMAN,,,"Apr 1, 2013 11:23:15 AM",,2014,UPPER,,,,
053,SPELMAN,,,"Apr 1, 2013 11:23:15 AM",,2014,UPPER,,,,
053,SPELMAN,,,"Apr 1, 2013 11:23:15 AM",,2015,UPPER,,,,
048,SPELMAN,,,"Apr 1, 2013 11:29:08 AM",,2014,UPPER,,,,
048,SPELMAN,,,"Apr 1, 2013 11:29:08 AM",,2014,UPPER,,,,
048,SPELMAN,,,"Apr 1, 2013 11:29:08 AM",,2014,UPPER,,,,
048,SPELMAN,,,"Apr 1, 2013 11:29:08 AM",,2015,UPPER,,,,
111,DOD,,,"Apr 1, 2013 11:30:32 AM",,2014,UPPER,,,,
036,SPELMAN,,,"Apr 1, 2013 11:37:56 AM",,2014,UPPER,,,,
036,SPELMAN,,,"Apr 1, 2013 11:37:56 AM",,2014,UPPER,,,,
036,SPELMAN,,,"Apr 1, 2013 11:37:56 AM",,2014,UPPER,,,,
036,SPELMAN,,,"Apr 1, 2013 11:37:56 AM",,2015,UPPER,,,,
077,SPELMAN,,,"Apr 1, 2013 11:43:27 AM",,2015,UPPER,,,,
077,SPELMAN,,,"Apr 1, 2013 11:43:27 AM",,2015,UPPER,,,,
077,SPELMAN,,,"Apr 1, 2013 11:43:27 AM",,2014,UPPER,,,,
077,SPELMAN,,,"Apr 1, 2013 11:43:27 AM",,2015,UPPER,,,,
174,SCULLY,,,"Apr 1, 2013 11:43:32 AM",,2014,UPPER,,,,
174,SCULLY,,,"Apr 1, 2013 11:43:32 AM",,2014,UPPER,,,,
037,SPELMAN,,,"Apr 1, 2013 11:45:07 AM",,2014,UPPER,,,,
037,SPELMAN,,,"Apr 1, 2013 11:45:07 AM",,2014,UPPER,,,,
037,SPELMAN,,,"Apr 1, 2013 11:45:07 AM",,2014,UPPER,,,,
037,SPELMAN,,,"Apr 1, 2013 11:45:07 AM",,2015,UPPER,,,,
038,SPELMAN,,,"Apr 1, 2013 11:45:38 AM",,2014,UPPER,,,,
038,SPELMAN,,,"Apr 1, 2013 11:45:38 AM",,2014,UPPER,,,,
