0021 A34	11	10
0021 A36	6	5
0021 A38	117	9
0021 A40	543	36
0021 A46	429	53
0021 A48	591	45
0021 A54	691	83
0021 A56	438	23
0023 030	581	66
0023 040	284	4
0023 041	319	5
0023 060	621	56
0023 061	520	53
0023 062	359	30
0023 063	254	16
0023 070	83	61
0023 071	20	16
0023 072	415	37
0023 073	602	71
0023 074	88	57
0023 075	112	21
0023 076	178	12
0023 080	48	2
0023 081	108	5
0023 082	34	2
0023 083	71	49
0023 086	26	21
0023 087	152	9
0023 088	521	78
0023 089	87	56
0023 090	122	10
0023 307	80	2
0023 308	398	46
0023 309	206	144
0023 310	119	79
0023 311	72	16
0023 312	484	64
0023 313	4	1
0023 408	159	3
0023 T01	121	9
0023 T02	85	63
0023 T03	556	62
0023 T04	89	58
0023 T05	90	59
0023 T06	258	17
0023 T07	53	34
0023 T09	255	186
0023 T11	250	182
0023 T12	3	1
0026 003A	77	43
0026 003B	80	44
0026 003C	70	39
0026 004B	31	19
0026 005B	94	63
0026 006A	93	62
0026 013	30	4
0026 014	71	6
0026 022	79	8
0026 026	67	23
0026 028	81	28
0026 052	86	59
0026 052B	95	64
0026 061	109	14
0026 062	110	15
0026 063	98	12
0028 012	5	2
0028 022	72	40
0028 024	75	41
0028 025	55	32
0028 026	85	10
0028 027	52	17
0028 037	88	31
0028 041	82	29
0028 042	69	25
0028 046	42	11
0028 056	54	31
0028 057	22	12
0028 061	59	20
0028 062	73	26
0028 063	44	13
0028 066	43	12
0028 067	47	14
0028 068	25	15
0028 073	62	22
0028 074	14	2
0028 076	24	14
0028 078	34	5
0028 079	33	21
0028 081	61	21
0028 085	46	28
0028 088	21	11
0028 092	68	24
0028 095	65	38
0028 096	83	9
0028 097	60	35
0028 107	56	19
0028 111	84	30
0028 115	23	13
0028 116	9	5
0028 142	38	23
0028 143	74	27
0029 113	12	11
0029 124	84	14
0029 221	28	23
0029 322	40	31
0029 324	44	1
0029 325	85	58
0030 111	540	35
0030 112	535	55
0030 121	573	41
0030 122	536	56
0030 211	588	68
0030 212	632	85
0030 221	611	75
0030 222	624	80
0030 231	275	201
0030 232	252	184
0030 233	208	146
0030 234	452	27
0030 235	253	185
0030 311	565	63
0030 312	566	64
0030 321	616	76
0030 322	625	81
0030 401	92	60
0030 402	651	93
0030 403	595	379
0030 404	413	48
0030 412	646	92
0030 413	610	380
0030 414	583	67
0030 421	439	1
0030 422	652	94
0030 431	270	196
0030 432	76	48
0030 433	243	175
0030 435	273	199
0030 436	272	198
0030 437	642	383
0030 438	78	49
0030 439	274	200
0030 511	67	14
0030 521	48	10
0030 522	587	92
0030 601	451	26
0030 611	526	54
0030 612	592	94
0030 613	585	91
0030 621	601	70
0030 622	557	86
0030 623	558	87
0030 631	473	47
0030 632	239	171
0030 633	614	381
0030 634	294	217
0040 112	51	39
0040 113	46	37
0040 114	17	2
0040 115	8	7
0040 116	36	29
0040 121	97	15
0040 122	40	32
0040 124	102	17
0040 125	27	22
0040 131	63	11
0040 132	53	41
0040 133	9	8
0040 134	101	16
0040 135	99	75
0040 141	116	24
0040 142	123	26
0040 143	525	353
0040 144	295	218
0040 211	66	13
0040 212	75	53
0040 213	122	23
0040 214	90	68
0040 221	1	1
0040 222	181	124
0040 223	182	125
0040 224	304	225
0040 225	329	244
0040 230	579	377
0040 232	617	382
0040 241	210	148
0040 242	636	101
0040 243	209	147
0040 311	100	65
0040 312	101	66
0040 313	197	32
0040 314	681	106
0040 321	207	145
0040 323	630	84
0040 324	277	203
0040 325	276	202
0040 332	95	61
0040 333	629	83
0040 334	203	142
0040 335	533	358
0040 342	94	19
0040 343	96	62
0040 344	97	63
0040 345	456	28
0040 346	576	375
0040 411	107	72
0040 412	373	277
0040 413	106	71
0040 414	104	69
0040 421	139	95
0040 422	300	223
0040 423	330	245
0040 424	301	224
0040 427	113	76
0040 428	115	22
0040 429	114	77
0040 431	202	141
0040 432	493	340
0040 433	200	139
0040 434	204	143
0040 435	198	33
0040 436	199	138
0040 437	511	348
0040 438	404	47
0040 439	201	140
0040 440	574	374
0040 441	570	372
0040 441A	569	371
0040 442	599	95
0040 443	628	99
0040 511	85	6
0040 601	320	236
0040 602	586	44
0040 603	225	160
0040 611	108	20
0040 612	305	226
0040 613	110	74
0040 614	686	109
0040 615	356	265
0040 616	269	195
0040 617	109	73
0040 621	41	9
0040 622	244	176
0040 623	105	70
0040 624	176	120
0040 625	240	172
0040 626	509	347
0040 630	568	370
0040 632	238	170
0040 633	103	68
0040 634	102	67
0040 641	600	51
0040 643	455	321
0040 701	420	306
0040 703	409	302
0040 704	688	107
0040 705	406	299
0040 711	230	164
0040 712	231	165
0040 713	228	162
0040 714	229	163
0040 715	233	167
0040 716	232	166
0040 717	309	229
0040 718	682	107
0040 719	310	230
0040 721	43	27
0040 722	42	26
0040 727	307	227
0040 728	635	86
0040 731	296	219
0040 732	379	282
0040 733	378	281
0040 734	51	11
0040 735	52	33
0040 741	318	235
0040 742	411	304
0040 743	412	305
0042 101	361	43
0042 102	333	246
0042 111	645	91
0042 112	392	291
0042 113	393	292
0042 114	644	90
0042 121	550	59
0042 122	395	294
0042 123	368	274
0042 124	366	31
0042 131	665	99
0042 132	377	280
0042 133	597	49
0042 201	477	334
0042 202	214	35
0042 203	492	50
0042 204	216	153
0042 205	215	152
0042 211	626	82
0042 213	265	193
0042 215	394	293
0042 221	618	77
0042 222	596	48
0042 301	280	205
0042 302	281	206
0042 303	282	207
0042 304	604	73
0042 306	374	278
0042 307	375	279
0042 308	283	208
0042 312	548	58
0042 313	263	191
0042 314	264	192
0042 315	162	29
0042 316	673	105
0042 318	163	110
0042 321	648	102
0042 322	487	48
0042 323	369	275
0042 324	367	273
0042 325	161	28
0042 326	668	101
0042 327	546	363
0042 329	486	338
0042 331	132	11
0042 332	364	271
0042 333	365	272
0042 334	260	189
0042 335	133	89
0042 341	376	17
0043 101	100	76
0043 102	28	23
0043 103	10	9
0043 111	119	7
0043 112	127	13
0043 113	115	8
0043 114	598	50
0043 115	72	50
0043 116	87	65
0043 121	77	17
0043 122	672	103
0043 123	593	46
0043 124	594	47
0043 131	344	256
0043 132	339	252
0043 133	572	40
0043 134	371	32
0043 141	370	16
0043 151	654	95
0043 201	248	180
0043 202	247	179
0043 203	16	10
0043 204	15	9
0043 205	14	8
0043 206	12	6
0043 207	18	11
0043 211	249	181
0043 212	666	100
0043 214	445	313
0043 216	17	3
0043 217	689	108
0043 218	13	7
0043 220	334	247
0043 221	446	314
0043 222A	447	315
0043 223	459	323
0043 224	335	248
0043 225	29	8
0043 226	259	18
0043 229	338	251
0043 232	567	65
0043 233	321	237
0043 234	603	72
0043 235	336	249
0043 236	337	250
0043 301	257	188
0043 302	430	42
0043 312	246	178
0043 313	245	177
0043 314	551	60
0043 321	553	61
0043 323	519	351
0043 324	444	46
0043 331	580	43
0043 332	527	354
0043 333	669	102
0047 101	416	38
0047 102	537	82
0047 103	431	311
0047 104	432	43
0047 111	211	149
0047 112	667	103
0047 113	212	150
0047 114	213	151
0047 115	685	106
0047 116	355	264
0047 117	385	45
0047 118	419	39
0047 119	418	50
0047 121	222	159
0047 122	643	63
0047 123	608	53
0047 124	531	80
0047 125	126	10
0047 126	350	260
0047 131	506	31
0047 132	235	168
0047 133	609	74
0047 141	647	64
0047 201	386	286
0047 202	510	74
0047 203	512	75
0047 212	663	98
0047 213	388	288
0047 214	387	287
0047 215	514	77
0047 221	343	40
0047 222	524	352
0047 222A	582	378
0047 223	351	261
0047 224	390	290
0047 232	460	324
0047 233	340	253
0047 234	341	254
0047 235	342	255
0047 301	523	34
0047 311	513	76
0047 312	141	24
0047 313	184	31
0047 314	140	96
0047 321	381	283
0047 322	19	4
0047 323	650	384
0047 324	20	5
0047 331	552	38
0047 332	468	331
0047 333	389	289
0047 334	461	325
0047 335	227	161
0047 402	360	268
0047 403	658	96
0047 404	325	240
0047 405	191	133
0047 411	28	2
0047 413	391	34
0047 421	627	98
0047 431	226	37
0047 441	27	7
0047 511	234	14
0047 521	279	21
0047 522	482	63
0047 523	91	18
0047 531	612	2
0047 532	518	350
0047 612	489	66
0047 614	507	73
0047 615	236	169
0047 616	640	89
0047 617	435	45
0047 618	353	262
0047 621	352	42
0047 622	262	190
0047 623	223	36
0047 624	174	118
0047 625	684	108
0047 626	175	119
0047 627	261	38
0047 631	675	104
0047 632	683	80
0047 633	332	39
0049 101	399	295
0049 102	383	284
0049 103	671	104
0049 104	448	316
0049 111	180	123
0049 112	179	122
0049 113	677	105
0049 114	177	121
0049 121	607	97
0049 201	118	25
0049 211	96	73
0049 212	88	66
0049 213	120	8
0049 214	125	11
0049 222	1	1
0049 223	109	6
0049 224	2	2
0049 225	7	6
0049 231	24	1
0049 232	113	7
0049 241	18	3
0049 301	65	44
0049 302	43	35
0049 303	47	38
0049 304	54	42
0049 311	662	97
0049 312	288	211
0049 313	362	269
0049 315	289	212
0049 321	126	12
0049 322	16	15
0049 323	25	20
0049 324	32	26
0049 325	110	78
0049 331	495	341
0049 401	196	137
0049 402	195	136
0049 411	354	263
0049 412	363	270
0049 413	194	135
0049 421	491	67
0049 422	578	376
0049 423	474	60
0049 431	584	90
0053 111	78	56
0053 112	66	45
0053 113	73	51
0053 121	79	57
0053 123	124	10
0053 124	138	94
0053 125	137	93
0053 126	81	59
0053 131	67	46
0053 132	69	13
0053 133	82	60
0053 134	76	54
0053 135	80	58
0053 136	77	55
0053 141	485	65
0053 142	160	109
0053 143	121	81
0053 211	74	52
0053 212	68	47
0053 213	3	1
0053 214	5	4
0053 221	84	54
0053 222	83	53
0053 223	131	88
0053 224	129	86
0053 225	130	87
0053 226	494	51
0053 227	111	75
0053 228	74	47
0053 231	46	30
0053 232	357	266
0053 233	45	29
0053 234	135	91
0053 235	136	92
0053 236	655	67
0053 237	54	12
0053 241	21	12
0053 243	9	3
0053 244	633	100
0053 311	619	78
0053 312	128	85
0053 313	127	84
0053 314	620	79
0053 321	638	87
0053 322	134	90
0053 323	165	112
0053 324	589	69
0053 332	164	111
0053 334	358	267
0053 401	639	88
0053 402	34	21
0053 413	539	57
0053 421	10	4
0053 422	143	25
0053 431	147	101
0053 432	538	83
0053 433	142	97
0053 501	605	52
0053 502	5	2
0053 503	44	28
0053 504	606	96
0053 511	149	102
0053 512	508	52
0053 513	150	103
0053 514	151	104
0053 515	148	26
0053 516	32	19
0053 517	11	5
0053 521	33	20
0053 523	384	285
0053 523A	6	2
0053 525	205	34
0053 527	24	15
0053 528	23	14
0053 531	31	18
0053 532	30	17
0053 533	458	322
0053 534	472	333
0053 535	7	1
0056 123	14	8
0056 124	19	12
0056 132	6	5
0056 213	20	13
0056 214	10	6
