Room 	Date/Time Drawn
JOLINE 235	Apr 8, 2017 9:55:14 AM
LAURITZEN D314	Apr 8, 2017 9:56:20 AM
BAKER S204	Apr 8, 2017 10:02:02 AM
BLOOMBERG 407	Apr 8, 2017 10:02:16 AM
BAKER E206	Apr 8, 2017 10:03:15 AM
JOLINE 225	Apr 8, 2017 10:07:02 AM
LAURITZEN D311	Apr 8, 2017 10:07:31 AM
BLOOMBERG 349	Apr 8, 2017 10:08:34 AM
BLOOMBERG 469	Apr 8, 2017 10:08:41 AM
FISHER A101	Apr 8, 2017 10:10:03 AM
1976 D316	Apr 8, 2017 10:10:41 AM
FISHER A225	Apr 8, 2017 10:14:56 AM
BLOOMBERG 449	Apr 8, 2017 10:19:19 AM
BLOOMBERG 443	Apr 8, 2017 10:19:23 AM
1981 F229	Apr 8, 2017 10:26:19 AM
BLAIR B83	Apr 8, 2017 10:43:43 AM
MURLEY T402	Apr 8, 2017 10:43:59 AM
HARGADON G405	Apr 8, 2017 10:45:00 AM
LITTLE 048	Apr 8, 2017 10:48:40 AM
BLOOMBERG 479	Apr 8, 2017 10:59:37 AM
1981 F123	Apr 8, 2017 11:10:04 AM
BLOOMBERG 445	Apr 8, 2017 11:12:23 AM
LITTLE 085	Apr 8, 2017 11:22:20 AM
WILF E308	Apr 8, 2017 11:41:40 AM
WILF E306	Apr 8, 2017 11:42:10 AM
BLOOMBERG 248	Apr 8, 2017 11:51:45 AM
BLOOMBERG 324	Apr 8, 2017 11:52:07 AM
LITTLE 302	Apr 8, 2017 12:04:14 PM
EDWARDS 106	Apr 8, 2017 12:35:23 PM
BLOOMBERG 314	Apr 8, 2017 12:55:16 PM
BOGLE C203	Apr 8, 2017 1:34:55 PM
BOGLE C205	Apr 8, 2017 1:35:10 PM
LITTLE 083	Apr 8, 2017 1:35:57 PM
BLOOMBERG 245	Apr 8, 2017 2:08:39 PM
BLOOMBERG 243	Apr 8, 2017 2:09:10 PM
WILF E208	Apr 8, 2017 2:50:00 PM
WILF E206	Apr 8, 2017 2:50:01 PM
BLOOMBERG 473	Apr 8, 2017 2:55:19 PM
JOLINE 433	Apr 8, 2017 3:51:27 PM
BLOOMBERG 471	Apr 11, 2017 9:21:54 AM
WILF E201	Apr 11, 2017 9:25:00 AM
JOLINE 422	Apr 11, 2017 9:29:24 AM
JOLINE 332	Apr 11, 2017 9:29:38 AM
BLOOMBERG 281	Apr 11, 2017 9:33:09 AM
BAKER S205	Apr 11, 2017 9:33:44 AM
EDWARDS 502	Apr 11, 2017 9:36:46 AM
1967 B205	Apr 11, 2017 9:40:39 AM
1981 F017	Apr 11, 2017 9:41:43 AM
