0019 114	1	Mathey	Pub	2	184	No	25	22	32	26
0019 301	4	Mathey	Pub	3	575	No	114	22	74	13
0019 302	4	Mathey	Pub	3	598	No	109	19	75	14
0019 305	4	Mathey	Pub	3	605	No	55	3
0019 A02	1	Mathey	Pub	2	160	Yes	39	32	35	28
0019 B41	1	Mathey	Pub	A	122	Yes	104	72	128	76
0019 B42	2	Mathey	Pub	A	214	Yes	131	19	133	20
0019 B51	1	Mathey	Pub	A	138	Yes	21	19	96	59
0019 B52	1	Mathey	Pub	A	156	Yes	3	2	34	27
0019 B53	1	Mathey	Pub	A	147	Yes	7	6	40	32
0019 B61	2	Mathey	Pub	A	248	Yes	128	17	101	15
0019 B62	2	Mathey	Pub	A	225	Yes	129	18	132	19
0019 B71	1	Mathey	Pub	A	150	Yes	14	13	11	9
0019 B72	1	Mathey	Pub	A	145	Yes	96	68	98	61
0019 B73	1	Mathey	Pub	A	149	Yes	27	24	50	40
0019 B81	1	Mathey	Pub	A	143	No	49	40
0019 B82	1	Mathey	Pub	A	146	No	29	26	62	45
0019 B83	1	Mathey	Pub	A	149	No	37	31	42	34
0019 B91	1	Mathey	Pub	A	132	No	95	67	63	46
0019 B92	4	Mathey	Pub	A	644	No	89	12	93	19
0021 011	3	Mathey	Pub	1	466	Yes
0021 012	3	Mathey	Pub	1	422	Yes	76	2	82	2
0021 013	4	Mathey	Pub	1	561	Yes	100	17	105	20
0021 031	4	Mathey	Pub	1	527	Yes	118	24	115	24
0021 033	4	Mathey	Pub	1	514	Yes	117	23	123	27
0021 035	2	Mathey	Pub	2	231	Yes
0021 045	2	Mathey	Pub	2	222	Yes	1	1
0021 047	1	Mathey	Pub	2	210	Yes	2	1	1	1
0021 048	1	Mathey	Pub	2	130	Yes	70	52	24	18
0021 051	4	Mathey	Pub	1	529	No	38	2	89	17
0021 053	4	Mathey	Pub	1	528	No	123	26	122	26
0021 055	1	Mathey	Pub	2	212	No	10	9	3	3
0021 057	2	Mathey	Pub	2	443	No	20	2	4	1
0021 062	1	Mathey	Pub	1	238	No	5	4	2	2
0021 063	4	Mathey	Pub	2	644	No	53	4	53	2
0021 071	5	Mathey	Pub	1	889	No	86	2	95	2
0021 073	4	Mathey	Pub	1	573	No	69	10	71	12
0021 074	4	Mathey	Pub	2	573	No	64	7	92	18
0021 077	4	Mathey	Pub	2	683	No	44	3	20	1
0021 081	4	Mathey	Pub	1	506	No	127	29	131	31
0021 083	2	Mathey	Pub	1	419	No	31	4	15	4
0021 085	2	Mathey	Pub	2	418	No	22	3	5	2
0021 091	4	Upperclass	Pub	1	509	No	676	76	673	58
0021 093	4	Upperclass	Pub	1	508	No	657	69	674	59
0021 095	1	Upperclass	Pub	2	203	No	116	78	35	19
0021 097	4	Upperclass	Pub	2	519	No	649	65	703	65
0021 101	4	Upperclass	Pub	1	512	No	659	70	505	35
0021 103	4	Upperclass	Pub	1	512	No	660	71	735	80
0021 105	4	Upperclass	Pub	2	508	No	653	66	714	70
0021 111	4	Upperclass	Pub	1	744	No	118	9	270	16
0021 115	4	Upperclass	Pub	2	708	No	436	21	402	19
0021 121	4	Upperclass	Pub	1	600	No	515	32	498	32
0021 122	4	Upperclass	Pub	1	637	No	516	33	486	30
0021 123	4	Upperclass	Pub	2	617	No	480	30	431	25
0021 124	1	Upperclass	Pub	2	219	No	26	16	19	11
0021 131	3	Upperclass	Pub	1	464	No	237	15	452	40
0021 134	4	Upperclass	Pub	2	537	No	501	34
0021 141	2	Upperclass	Pub	1	288	No	475	61	349	59
0021 142	4	Upperclass	Pub	1	644	No	401	19	422	22
0021 143	4	Upperclass	Pub	1	595	No	476	29	499	33
0021 145	4	Upperclass	Pub	2	521	No	623	58	734	79
0021 146	4	Upperclass	Pub	2	653	No	437	22	392	18
0021 301	4	Mathey	Pub	3	562	Yes	67	8	87	15
0021 302	1	Mathey	Pub	3	162	Yes	13	12	23	17
0021 303	1	Mathey	Pub	3	193	Yes	12	11	12	10
0021 305	1	Mathey	Pub	3	123	Yes	75	55	94	58
0021 307	1	Mathey	Pub	3	116	Yes	87	63	97	60
0021 309	1	Mathey	Pub	3	119	Yes	88	64	103	65
